Nom,Début,Fin,Lieu,Description
Rentrée RT2app,2021-09-06 07:00:00+00:00,2021-09-06 08:00:00+00:00,RT-Salle-TD3,"

RT2App
Réunion/Evènement
(Exported :05/01/2022 11:04)
"
Réunion stage,2021-11-24 15:00:00+00:00,2021-11-24 17:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-12 13:00:00+00:00,2022-01-12 17:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-24 07:15:00+00:00,2021-09-24 10:15:00+00:00,RT-Labo Telecoms 2,"

RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-29 13:00:00+00:00,2021-11-29 15:00:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs SM,2021-11-12 07:15:00+00:00,2021-11-12 11:15:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2022-01-12 13:00:00+00:00,2022-01-12 16:00:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-29 12:00:00+00:00,2021-09-29 16:00:00+00:00,GC-ISAT R10 Info petite,"

RT1Shannon2
RT1Shannon1
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Sources de données,2022-01-25 13:00:00+00:00,2022-01-25 15:00:00+00:00,RT-Salle-TD1,"

TDBell
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-11-17 07:15:00+00:00,2021-11-17 09:15:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
DS Réseaux cellulaires,2022-01-20 09:15:00+00:00,2022-01-20 11:15:00+00:00,RT-Amphi,"

RT2Hamming
RT2Dijkstra
RT2-S4
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Analyse et traitement de données structurées,2022-02-08 15:00:00+00:00,2022-02-08 17:00:00+00:00,RT-Salle-TD2,"

RT1Shannon1
RT1Turing
TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-06 09:15:00+00:00,2022-01-06 11:15:00+00:00,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-25 12:00:00+00:00,2021-10-25 14:00:00+00:00,"RT-Amphi,RT-Salle-TD2,RT-Salle-TD1","

RT1-S1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-26 12:30:00+00:00,2021-11-26 15:30:00+00:00,RT-Labo Electronique 1,"

RT1Huffman
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
CM Supervision et sécurisation du SI,2021-12-07 09:15:00+00:00,2021-12-07 11:15:00+00:00,RT-Amphi,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-17 12:30:00+00:00,2021-12-17 16:30:00+00:00,RT-Labo Informatique 1,"

RT1Shannon1
RT1Shannon2
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-15 15:00:00+00:00,2021-12-15 17:00:00+00:00,RT-Labo Informatique 2,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-07 13:00:00+00:00,2021-12-07 17:00:00+00:00,RT-Labo reseaux 2,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Applications informatiques,2021-10-29 06:15:00+00:00,2021-10-29 10:15:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Administration Active Directory,2022-01-03 07:15:00+00:00,2022-01-03 11:00:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-07 09:15:00+00:00,2021-12-07 11:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-24 11:30:00+00:00,2021-09-24 15:30:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-06 07:15:00+00:00,2022-01-06 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-08 11:30:00+00:00,2021-10-08 15:30:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Visite Orange - Fibre Optique,2021-09-20 07:00:00+00:00,2021-09-20 10:00:00+00:00,,"

RT2Dijkstra
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-26 06:15:00+00:00,2021-10-26 08:15:00+00:00,RT-Salle-TD2,"

TDFourier
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs SM,2021-11-12 12:30:00+00:00,2021-11-12 14:30:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-12-08 15:00:00+00:00,2021-12-08 17:00:00+00:00,"RT-Salle Info CAO,TEAMS","

TDBell
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-14 07:15:00+00:00,2022-01-14 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-10-22 11:30:00+00:00,2021-10-22 13:30:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-11-16 09:15:00+00:00,2021-11-16 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Communication,2021-10-20 14:00:00+00:00,2021-10-20 16:00:00+00:00,RT-Salle-TD4,"

RT2App
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Communication,2021-10-06 14:00:00+00:00,2021-10-06 16:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
DS TP Infrastructure sans fil,2021-12-01 07:15:00+00:00,2021-12-01 08:45:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-19 12:00:00+00:00,2021-10-19 14:00:00+00:00,"RT-Salle-TD2,RT-Amphi,RT-Salle-TD1","

RT1-S1
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-27 12:00:00+00:00,2021-10-27 15:00:00+00:00,RT-Labo reseaux 2,"

RT1Turing
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-12 13:00:00+00:00,2022-01-12 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
DS Expression Culture Communications professionnelles,2021-12-08 13:00:00+00:00,2021-12-08 15:00:00+00:00,RT-Salle Labo Visio,"

RT1App
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-03 07:15:00+00:00,2022-01-03 09:15:00+00:00,RT-Salle-TD1,"

TDBell
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-21 08:15:00+00:00,2021-10-21 10:15:00+00:00,RT-Labo Informatique 3,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
TP Solutions métier,2022-02-10 12:30:00+00:00,2022-02-10 14:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-10-20 08:15:00+00:00,2021-10-20 10:15:00+00:00,RT-Salle-TD2,"

TDFourier
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Sources de données,2022-02-02 07:15:00+00:00,2022-02-02 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
PortFolio - CISCO,2021-12-17 07:15:00+00:00,2021-12-17 09:15:00+00:00,RT-Labo Informatique 3,"

RT1Turing
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
CM Maintien de la disponibilité,2022-01-06 09:15:00+00:00,2022-01-06 11:15:00+00:00,RT-Salle-TD4,"

LP-CyberSécurité
BARANEK OLIVIER
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-11-16 07:15:00+00:00,2021-11-16 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Communication,2021-09-22 06:15:00+00:00,2021-09-22 08:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
CM Hacking éthique,2021-12-10 09:15:00+00:00,2021-12-10 11:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-03 07:15:00+00:00,2022-02-03 09:15:00+00:00,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
EXAMEN CISCO,2022-01-17 09:15:00+00:00,2022-01-17 11:15:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-10-06 12:00:00+00:00,2021-10-06 14:00:00+00:00,RT-Salle-TD1,"

RT1App
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
CM Supervision et sécurisation du SI,2021-12-09 07:15:00+00:00,2021-12-09 09:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
DS Mathématiques du signal,2021-12-13 09:15:00+00:00,2021-12-13 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
DS Anglais,2022-01-05 09:15:00+00:00,2022-01-05 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-20 12:00:00+00:00,2021-10-20 16:00:00+00:00,RT-Labo Informatique 3,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Projets tuteurés,2021-10-12 14:00:00+00:00,2021-10-12 16:00:00+00:00,,"

RT2Hamming
RT2Dijkstra
Réunion/Evènement
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-07 06:15:00+00:00,2021-10-07 08:15:00+00:00,RT-Labo Informatique 1,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
TP Cryptographie,2021-12-13 12:30:00+00:00,2021-12-13 14:30:00+00:00,RT-Salle-TD1,"

LP-CyberSécurité
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
DS Architecture des systèmes numériques et informatiques,2022-01-07 12:30:00+00:00,2022-01-07 14:30:00+00:00,RT-Amphi,"

RT1-S1
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-20 12:00:00+00:00,2021-10-20 14:00:00+00:00,RT-Salle-TD2,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-11-12 08:15:00+00:00,2021-11-12 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Huffman
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2022-01-04 07:15:00+00:00,2022-01-04 11:15:00+00:00,RT-Labo reseaux 2,"

RT2Dijkstra
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
CM Supervision et sécurisation du SI,2021-11-16 14:30:00+00:00,2021-11-16 16:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Anglais,2021-09-23 11:30:00+00:00,2021-09-23 13:30:00+00:00,RT-Salle-TD3,"

RT2App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
DS TP Fondamentaux de la programmation,2021-12-09 08:15:00+00:00,2021-12-09 11:15:00+00:00,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2021-12-03 09:15:00+00:00,2021-12-03 11:15:00+00:00,RT-Amphi,"

RT1-S1
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-01-31 07:15:00+00:00,2022-01-31 09:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-12-10 07:15:00+00:00,2021-12-10 09:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-10-01 08:15:00+00:00,2021-10-01 10:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-15 09:15:00+00:00,2021-11-15 11:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
CM Solutions métier,2022-02-07 07:15:00+00:00,2022-02-07 09:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-21 06:15:00+00:00,2021-09-21 08:15:00+00:00,RT-Salle-TD1,"

TDBell
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-10-01 11:30:00+00:00,2021-10-01 13:30:00+00:00,GC-ISAT R12 Info grande,"

RT1Turing
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Applications informatiques,2021-10-29 11:30:00+00:00,2021-10-29 15:30:00+00:00,RT-Labo Informatique 3,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-10-20 06:15:00+00:00,2021-10-20 08:15:00+00:00,RT-Salle-TD1,"

TDBell
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
CM Maintien de la disponibilité,2022-01-07 07:15:00+00:00,2022-01-07 09:15:00+00:00,RT-Salle-TD4,"

LP-CyberSécurité
EMERY FRANCK
(Exported :05/01/2022 11:04)
"
Réunion d'information SUAPS,2021-09-21 11:15:00+00:00,2021-09-21 12:00:00+00:00,RT-Amphi,"

RT1-S1
RT1App
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-22 11:30:00+00:00,2021-10-22 15:30:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-23 13:00:00+00:00,2021-11-23 17:00:00+00:00,RT-Labo reseaux 2,"

RT1Huffman
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-10-27 06:15:00+00:00,2021-10-27 08:15:00+00:00,RT-Salle-TD2,"

TDFourier
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-17 08:15:00+00:00,2021-09-17 10:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-06 07:15:00+00:00,2022-01-06 09:15:00+00:00,RT-Amphi,"

RT1-S1
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-21 06:15:00+00:00,2021-10-21 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Réunion SEFCA,2021-09-22 11:30:00+00:00,2021-09-22 12:00:00+00:00,RT-Salle-TD3,"

RT2App
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-07 08:15:00+00:00,2021-09-07 10:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
CM Hacking éthique,2022-01-04 07:15:00+00:00,2022-01-04 09:15:00+00:00,RT-Salle-TD3,"

LP-CyberSécurité
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Administration système,2021-12-01 13:00:00+00:00,2021-12-01 16:00:00+00:00,RT-Labo reseaux 1,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
DS TP Gestion d'annuaires unifiés,2021-12-06 07:30:00+00:00,2021-12-06 09:00:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
MANSOURI ALAMIN
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-03 06:15:00+00:00,2021-09-03 08:15:00+00:00,RT-Amphi,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-03 11:30:00+00:00,2021-09-03 13:30:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
PPP,2021-11-22 13:00:00+00:00,2021-11-22 15:00:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-11 06:15:00+00:00,2021-10-11 10:15:00+00:00,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-16 07:15:00+00:00,2021-12-16 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Anglais général,2021-12-15 13:00:00+00:00,2021-12-15 15:00:00+00:00,RT-Labo Informatique 2,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-06 12:00:00+00:00,2021-09-06 14:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-23 08:15:00+00:00,2021-09-23 10:15:00+00:00,RT-Salle Info CAO,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-22 06:15:00+00:00,2021-10-22 10:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-28 12:00:00+00:00,2021-09-28 16:00:00+00:00,RT-Labo Informatique 3,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-11-25 12:30:00+00:00,2021-11-25 15:30:00+00:00,RT-Labo Informatique 2,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
TP Solutions métier,2022-02-07 12:30:00+00:00,2022-02-07 14:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-15 08:15:00+00:00,2022-02-15 11:15:00+00:00,RT-Labo Telecoms 2,"

RT1Turing
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
VoIP/ToIP - M. SOTOMAYOR,2021-12-10 07:15:00+00:00,2021-12-10 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-18 07:15:00+00:00,2022-01-18 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-10-12 12:00:00+00:00,2021-10-12 14:00:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-11-08 07:15:00+00:00,2021-11-08 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-10-06 08:15:00+00:00,2021-10-06 10:15:00+00:00,RT-Salle-TD1,"

TDFourier
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-21 12:00:00+00:00,2021-09-21 14:00:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-09-27 13:15:00+00:00,2021-09-27 15:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-13 14:30:00+00:00,2022-01-13 15:30:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-09 09:15:00+00:00,2022-02-09 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-10-18 08:15:00+00:00,2021-10-18 10:15:00+00:00,RT-Labo Informatique 2,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-19 08:15:00+00:00,2021-10-19 10:15:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-09-28 08:15:00+00:00,2021-09-28 10:15:00+00:00,RT-Labo Informatique 1,"

TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-11-16 08:15:00+00:00,2021-11-16 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-29 08:15:00+00:00,2021-10-29 10:15:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-11-23 13:00:00+00:00,2021-11-23 16:00:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs SM,2021-10-12 08:15:00+00:00,2021-10-12 10:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-05 07:15:00+00:00,2022-01-05 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-11 12:00:00+00:00,2021-10-11 14:00:00+00:00,"RT-Salle-TD2,RT-Amphi,RT-Salle-TD1","

RT1-S1
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
CM Maintien de la disponibilité,2022-01-06 07:15:00+00:00,2022-01-06 09:15:00+00:00,RT-Salle-TD4,"

LP-CyberSécurité
BARANEK OLIVIER
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-10-11 06:15:00+00:00,2021-10-11 08:15:00+00:00,RT-Labo Informatique 1,"

TDBell
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-02 07:15:00+00:00,2021-12-02 11:15:00+00:00,RT-Labo reseaux 2,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
DS TP Infrastructure sans fil,2021-12-02 08:45:00+00:00,2021-12-02 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Infrastructure sans fi,2021-11-24 07:15:00+00:00,2021-11-24 11:15:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
CM Solutions métier,2022-02-07 09:15:00+00:00,2022-02-07 11:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
PPP,2021-09-20 12:00:00+00:00,2021-09-20 14:00:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

RT2Dijkstra
RT2App
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-10-05 06:15:00+00:00,2021-10-05 08:15:00+00:00,RT-Salle-TD3,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
PPP,2021-12-13 15:00:00+00:00,2021-12-13 17:00:00+00:00,RT-Labo Informatique 3,"

RT2Dijkstra
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Management de projet (Etude de Cas),2021-11-19 12:30:00+00:00,2021-11-19 16:15:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
"
Infrastructure sans fil,2021-11-30 13:00:00+00:00,2021-11-30 15:00:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-09-20 12:00:00+00:00,2021-09-20 14:00:00+00:00,"RT-Amphi,RT-Salle-TD1","

RT1-S1
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-20 06:15:00+00:00,2021-10-20 08:15:00+00:00,RT-Salle-TD2,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-15 12:00:00+00:00,2021-09-15 14:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
PPP,2021-11-08 13:00:00+00:00,2021-11-08 15:00:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-12 13:00:00+00:00,2022-01-12 17:00:00+00:00,RT-Labo Electronique 1,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-09-21 12:00:00+00:00,2021-09-21 14:00:00+00:00,RT-Labo Informatique 1,"

TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Anglais,2021-11-16 15:00:00+00:00,2021-11-16 17:00:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
